date;Parc;Usage;Revenu
03/02/2022;6547;11696,7;579,08
04/02/2022;6544;11937,58;589,74
05/02/2022;6526;12213,1;604,14
06/02/2022;6500;10861,87;513,6
07/02/2022;6488;12111,43;618
08/02/2022;6497;12284,17;602,99
09/02/2022;6493;12386,14;599,6
10/02/2022;6475;12135,32;592,95
11/02/2022;6450;12001,28;593,54
12/02/2022;6447;12218,41;597,36
13/02/2022;6421;10595,23;496,01
14/02/2022;6409;11970,12;625,74
15/02/2022;6404;12027,95;584,19
16/02/2022;6393;11666,88;580,25
17/02/2022;6377;11716,59;581,3
18/02/2022;6369;11902,79;550,17
19/02/2022;6346;11768,69;556,72
20/02/2022;6335;10749,9;480,83
21/02/2022;6342;11715,29;575,08
22/02/2022;6352;12227,86;556,65
23/02/2022;6357;11878,18;560,48
24/02/2022;6371;11845,9;557,2
25/02/2022;6381;12193,45;595,73
26/02/2022;6387;12290,88;593,01
27/02/2022;6390;11364,16;513,87
28/02/2022;6409;12551,96;624,72
01/03/2022;6356;11454,44;576,91
02/03/2022;6417;11707,61;613,65
03/03/2022;6431;12129,78;618,35
04/03/2022;6443;11921,23;606,83
05/03/2022;6458;12147,05;673,38
06/03/2022;6461;11127,7;547,04
07/03/2022;6471;12482,34;651,06
08/03/2022;6489;12234,68;631,49
09/03/2022;6499;12112,16;607,98
10/03/2022;6499;11243,06;577,41
11/03/2022;6509;12047,25;578,3
12/03/2022;6510;11115,04;557,73
13/03/2022;6517;10481,53;526,49
14/03/2022;6528;12060,29;601,37
15/03/2022;6546;12039,82;605,06
16/03/2022;6584;12079,63;601,51
17/03/2022;6629;11354,67;567,94
18/03/2022;6666;11801,38;589,85
19/03/2022;6671;11684,31;585,07
20/03/2022;6693;11194,34;519,53
21/03/2022;6714;12234,22;600,83
22/03/2022;6764;12137,25;561,89
23/03/2022;6794;12229,54;597,7
24/03/2022;6820;11992,43;579,16
25/03/2022;6849;11698,35;562,9
26/03/2022;6870;12371,41;593,2
27/03/2022;6810;11082,35;523,48
28/03/2022;6855;11901,58;601,29
29/03/2022;6797;11760;578,65
